system:index,NDVI,bagil_nem,etiket,sicaklik,yagis,.geo
4111_0,4161.461038961039,45.123444904085105,192,15388.158343483557,1.2089412,"{""geodesic"":false,""type"":""Point"",""coordinates"":[38.632048793560024,37.75169981512289]}"
4149_0,3148.3636363636365,46.268701242721185,157,15510.205211726385,1.2555488,"{""geodesic"":false,""type"":""Point"",""coordinates"":[39.16205481119054,37.53610414693421]}"
4162_0,3349.2597402597403,39.941251137837305,257,15432.671885192432,1.414545,"{""geodesic"":false,""type"":""Point"",""coordinates"":[39.48544831347357,37.47322207704584]}"
4191_0,4872.11038961039,37.44940384459662,308,15197.934343434343,1.1540465,"{""geodesic"":false,""type"":""Point"",""coordinates"":[40.10528585951604,36.9881318236213]}"
4212_0,3096.6363636363635,41.87038214147137,240,15309.805779569893,1.500389,"{""geodesic"":false,""type"":""Point"",""coordinates"":[41.57852292547206,37.203727491809985]}"
4219_0,6599.75974025974,70.07366763679005,212,14886.388086642599,1.7406462,"{""geodesic"":false,""type"":""Point"",""coordinates"":[28.166675733567597,36.790502461115004]}"
4384_0,2487.779220779221,36.58096349484099,131,15548.61281883584,1.1116598,"{""geodesic"":false,""type"":""Point"",""coordinates"":[39.89867334416855,37.149828574762815]}"
4397_0,3989.1363636363635,41.06141172558942,183,15383.022493573264,1.1447424,"{""geodesic"":false,""type"":""Point"",""coordinates"":[39.06324012993739,37.21271064465118]}"
4402_0,4984.525974025974,54.10782417226147,217,14757.241475295756,2.5524206,"{""geodesic"":false,""type"":""Point"",""coordinates"":[28.382271401756284,37.293559020221934]}"
4433_0,4412.350649350649,36.58096349484099,310,15245.028373266077,1.1111966,"{""geodesic"":false,""type"":""Point"",""coordinates"":[39.79087551007421,37.14084542192162]}"
4452_0,4028.5,42.21026825609982,309,15256.372599231754,1.3365356,"{""geodesic"":false,""type"":""Point"",""coordinates"":[40.473595126005044,37.733733509440505]}"
4463_0,2429.6363636363635,52.78960333075047,182,15089.89886039886,1.1730688,"{""geodesic"":false,""type"":""Point"",""coordinates"":[42.93497900449253,39.09018958846098]}"
4473_0,4149.272727272727,61.75447965535624,156,15298.35033557047,1.5645669,"{""geodesic"":false,""type"":""Point"",""coordinates"":[36.700670932703055,37.07796335203325]}"
4483_0,4190.051948051948,59.58105521355087,205,15163.58774373259,1.8304279,"{""geodesic"":false,""type"":""Point"",""coordinates"":[35.20048440822345,36.96118236509771]}"
4527_0,2345.6753246753246,49.337951118731084,270,15163.519540229885,1.1767647,"{""geodesic"":false,""type"":""Point"",""coordinates"":[34.66149523775174,39.6112124532503]}"
4533_0,3221.935064935065,41.87038214147137,240,15301.802356020942,1.500389,"{""geodesic"":false,""type"":""Point"",""coordinates"":[41.57852292547206,37.22169379749238]}"
4605_0,2416.383116883117,47.97442792723334,238,15142.930627306274,1.0354118,"{""geodesic"":false,""type"":""Point"",""coordinates"":[34.634545779228155,38.97340860152544]}"
4683_0,3110.3246753246754,43.55697954442776,251,15236.20623342175,2.1497076,"{""geodesic"":false,""type"":""Point"",""coordinates"":[42.593619196527115,37.428306312839865]}"
4725_0,5034.441558441558,37.947341093757956,348,15215.31375,1.0699022,"{""geodesic"":false,""type"":""Point"",""coordinates"":[40.33884783338711,37.095929657715644]}"
4742_0,4586.090909090909,41.06141172558942,337,15220.036305732485,1.1008544,"{""geodesic"":false,""type"":""Point"",""coordinates"":[39.07222328277859,37.18576118612759]}"
4784_0,5165.220779220779,37.947341093757956,339,15213.26149968494,1.1110753,"{""geodesic"":false,""type"":""Point"",""coordinates"":[40.41969620895787,37.05999704635086]}"
4936_0,3986.6103896103896,40.92054574372304,316,15210.177157689812,1.3668762,"{""geodesic"":false,""type"":""Point"",""coordinates"":[40.62630872430536,37.79661557932887]}"
4953_0,3909.603896103896,49.48895075704658,254,15214.614709851552,2.1114633,"{""geodesic"":false,""type"":""Point"",""coordinates"":[42.593619196527115,37.61695252250497]}"
